date,high,low,opening_price,closing_price,volume
30-12-10 0:00,13.9,12.3,12.3,13,9623500
29-12-10 0:00,12.3,11.2,11.7,12,3987000
28-12-10 0:00,11.7,11,11,11.3,1698500
27-12-10 0:00,11.5,11,11.5,11.2,1249000
26-12-10 0:00,11.8,11.2,11.6,11.4,2746500
23-12-10 0:00,12,11.4,11.9,11.5,2852500
22-12-10 0:00,11.9,11.1,11.5,11.7,2901500
21-12-10 0:00,11.1,10.6,11,10.9,1472500
20-12-10 0:00,11.5,10.6,11.5,10.9,1796500
19-12-10 0:00,12.3,10.7,12.1,10.8,2030500
15-12-10 0:00,12.6,11.7,12.3,11.9,7047500
14-12-10 0:00,12.3,11,11,12,4691500
13-12-10 0:00,12,10.9,11.5,11.4,2181500
12-12-10 0:00,12.8,11.3,11.8,12,6816500
09-12-10 0:00,12,10.1,10.1,11.7,5651500
08-12-10 0:00,10.4,9.9,10.4,10,1315000
07-12-10 0:00,10.5,9.9,10.5,10.1,1340500
06-12-10 0:00,10.5,9.9,9.9,10.1,1404500
05-12-10 0:00,10.2,9.9,9.9,10,1284500
02-12-10 0:00,10.2,9.9,10.1,9.9,808500
01-12-10 0:00,10.3,10,10.1,10.1,772000
30-11-10 0:00,10.5,10.1,10.2,10.1,682500
29-11-10 0:00,10.9,10.4,10.4,10.4,1382500
28-11-10 0:00,11.1,10.5,10.6,10.7,2163000
25-11-10 0:00,10.5,9.9,10,10.3,1424000
24-11-10 0:00,10.1,9.9,9.9,10,654500
23-11-10 0:00,10.1,9.9,10,9.9,795000
22-11-10 0:00,10.2,9.9,10,10,1030500
21-11-10 0:00,10.2,9.9,10,10.1,661500
15-11-10 0:00,10.2,10,10,10.1,684000
14-11-10 0:00,10.3,10,10.3,10.1,498500
11-11-10 0:00,10.3,10,10.1,10.1,463000
10-11-10 0:00,10.4,10.1,10.1,10.1,709000
09-11-10 0:00,10.5,10,10.3,10.1,901500
08-11-10 0:00,10.6,10.3,10.4,10.3,675000
07-11-10 0:00,11.1,10.4,11,10.5,641000
04-11-10 0:00,12,10.6,10.6,10.9,1538500
03-11-10 0:00,10.5,10.3,10.4,10.3,809500
02-11-10 0:00,10.7,10.3,10.7,10.4,788500
01-11-10 0:00,10.8,10.4,10.6,10.5,794000
01-11-10 0:00,10.8,10.4,10.6,10.5,794000
31-10-10 0:00,10.9,10.5,10.6,10.5,802500
31-10-10 0:00,10.9,10.5,10.6,10.5,802500
28-10-10 0:00,11,10.5,10.6,10.6,672000
27-10-10 0:00,11,10.6,10.9,10.7,816500
26-10-10 0:00,11.2,10.8,11.2,10.9,866500
25-10-10 0:00,11.3,11,11.1,11,942000
24-10-10 0:00,11.4,11.1,11.2,11.1,869000
21-10-10 0:00,11.5,11.2,11.5,11.2,771500
20-10-10 0:00,11.5,11.3,11.4,11.4,893000
19-10-10 0:00,11.7,11.4,11.6,11.4,1557000
18-10-10 0:00,12.2,11.6,11.6,11.6,1613500
14-10-10 0:00,12,11.6,11.6,11.7,1356500
13-10-10 0:00,11.9,11.5,11.6,11.7,1275500
12-10-10 0:00,11.9,11.6,11.7,11.6,772500
11-10-10 0:00,11.9,11.6,11.7,11.7,910500
10-10-10 0:00,12,11.7,11.7,11.7,996500
07-10-10 0:00,12.4,11.7,12.2,11.9,1081500
06-10-10 0:00,13,12.2,12.6,12.4,1925500
05-10-10 0:00,12.7,11.6,11.8,12.2,1354500
04-10-10 0:00,12,11.7,12,11.8,882500
03-10-10 0:00,12.5,11.8,12.4,11.8,1189500
30-09-10 0:00,12.4,12.1,12.1,12.1,791500
29-09-10 0:00,12.6,11.5,12.5,12.3,1130500
28-09-10 0:00,12.8,12.5,12.6,12.5,1293500
27-09-10 0:00,13,12.6,12.7,12.6,1332000
26-09-10 0:00,13.2,12.8,13,12.8,1608500
23-09-10 0:00,13.4,13,13.3,13,2329000
22-09-10 0:00,13.4,12.9,13,13,2765500
21-09-10 0:00,13.2,12.7,12.8,12.9,3327500
20-09-10 0:00,13.1,12.5,13,12.6,10323500
29-12-11 0:00,9,8.6,8.6,8.9,1364500
28-12-11 0:00,8.9,8.5,8.6,8.8,1388000
27-12-11 0:00,8.9,8.7,8.8,8.8,916000
26-12-11 0:00,9.1,8.6,8.7,8.9,838500
22-12-11 0:00,9.3,8.5,9,8.9,2034500
21-12-11 0:00,9,8.2,8.2,8.7,1719500
20-12-11 0:00,8.6,7.9,8.2,8.4,1841500
19-12-11 0:00,8.5,7.7,8.1,8.3,1704000
18-12-11 0:00,8.2,7.4,7.5,8,1604000
15-12-11 0:00,7.9,7.3,7.4,7.8,1689000
14-12-11 0:00,7.5,7.1,7.1,7.3,884000
13-12-11 0:00,7.2,6.9,7,7.1,136500
12-12-11 0:00,7.1,6.9,6.9,7,79500
11-12-11 0:00,7,6.9,7,6.9,107500
08-12-11 0:00,7.2,7,7.1,7,66500
07-12-11 0:00,7.2,7,7.1,7.1,184000
05-12-11 0:00,7.2,7.1,7.2,7.1,154500
30-11-11 0:00,7.4,7.2,7.2,7.3,118500
29-11-11 0:00,7.5,7,7.3,7.2,163000
28-11-11 0:00,7.5,7,7,7.4,137500
27-11-11 0:00,7.7,7.3,7.6,7.3,177000
24-11-11 0:00,7.9,7.6,7.8,7.6,366500
23-11-11 0:00,8.4,7.5,8.3,7.5,624500
22-11-11 0:00,8.3,7.7,7.9,8.2,872000
21-11-11 0:00,8,7.6,8,7.7,154000
20-11-11 0:00,8.5,7.8,8.2,7.9,244000
17-11-11 0:00,8,7.5,7.8,7.9,395000
16-11-11 0:00,7.4,7.1,7.3,7.3,195500
